faze-vs-ence-nuke.out
de_nuke
KILL/!Aerial/!73.153,55.354/!ak47/!rain /!79.785,66.511
DMG/!Aerial/!73.154,55.352/!ak47/!broky /!79.763,67.158/!27
DMG/!broky /!79.686,67.228/!ssg08/!Aerial/!73.158,55.350/!72
DMG/!Aerial/!73.158,55.350/!ak47/!broky /!79.657,67.249/!27
DMG/!Aerial/!73.158,55.350/!ak47/!broky /!79.513,67.333/!27
DMG/!Aerial/!73.158,55.350/!ak47/!broky /!79.141,67.456/!9
DMG/!allu/!76.047,40.170/!deagle/!broky /!79.039,67.506/!32
KILL/!allu/!76.047,40.170/!deagle/!broky /!79.039,67.506
DMG/!NiKo /!71.261,68.732/!m4a1/!allu/!77.152,40.429/!21
DMG/!NiKo /!71.261,68.732/!m4a1/!allu/!77.168,40.433/!21
DMG/!allu/!77.168,40.433/!deagle/!NiKo /!71.261,68.732/!126
KILL/!allu/!77.168,40.433/!deagle HS/!NiKo /!71.261,68.732
DMG/!Jamppi/!79.514,67.765/!mac10/!coldzera /!75.519,69.903/!15
DMG/!Jamppi/!79.442,67.792/!mac10/!coldzera /!75.540,69.888/!15
DMG/!Jamppi/!79.370,67.738/!mac10/!coldzera /!75.533,69.869/!15
DMG/!Jamppi/!79.236,67.588/!mac10/!coldzera /!75.510,69.818/!60
KILL/!Jamppi/!79.236,67.588/!mac10 HS/!coldzera /!75.510,69.818
DMG/!suNny/!72.250,22.800/!ak47/!NiKo /!75.355,25.536/!35
DMG/!suNny/!72.241,22.888/!ak47/!NiKo /!75.141,25.582/!142
KILL/!suNny/!72.241,22.888/!ak47 HS/!NiKo /!75.141,25.582
DMG/!suNny/!77.794,22.627/!ak47/!rain /!80.546,34.798/!140
KILL/!suNny/!77.794,22.627/!ak47 HS/!rain /!80.546,34.798
DMG/!suNny/!91.815,52.729/!ak47/!broky /!88.874,60.995/!35
DMG/!suNny/!91.901,52.768/!ak47/!broky /!88.938,61.018/!35
DMG/!suNny/!91.913,52.773/!ak47/!broky /!88.946,61.020/!35
KILL/!suNny/!91.913,52.773/!ak47/!broky /!88.946,61.020
KILL/!suNny/!89.438,33.229/!ak47 HS/!coldzera /!76.477,35.955
DMG/!suNny/!89.438,33.229/!ak47/!coldzera /!76.477,35.955/!140
DMG/!Bymas/!76.555,32.823/!deagle/!suNny/!97.173,45.136/!35
DMG/!Bymas/!76.697,32.911/!deagle/!suNny/!97.333,45.017/!35
DMG/!suNny/!97.316,45.047/!ak47/!Bymas/!76.704,32.952/!137
KILL/!suNny/!97.316,45.047/!ak47 HS/!Bymas/!76.704,32.952
DMG/!Aerial/!83.231,18.249/!ak47/!NiKo /!83.195,51.994/!5
DMG/!Aerial/!83.215,18.249/!ak47/!NiKo /!83.180,51.993/!5
DMG/!NiKo /!83.167,51.993/!hkp2000/!Aerial/!82.964,18.251/!12
DMG/!broky /!83.011,56.502/!hkp2000/!Aerial/!82.917,18.251/!49
DMG/!broky /!83.072,56.502/!hkp2000/!Aerial/!82.662,18.256/!12
DMG/!Aerial/!82.566,18.259/!ak47/!NiKo /!83.173,51.993/!134
KILL/!Aerial/!82.566,18.259/!ak47 HS/!NiKo /!83.173,51.993
DMG/!broky /!83.182,56.500/!hkp2000/!Aerial/!82.429,18.262/!12
DMG/!Bymas/!83.154,56.617/!hkp2000/!Aerial/!82.410,18.263/!12
DMG/!rain /!93.543,32.273/!hkp2000/!Aerial/!75.906,19.343/!57
KILL/!rain /!93.543,32.273/!usp_silencer HS/!Aerial/!75.906,19.343
DMG/!Jamppi/!75.711,26.599/!m4a1/!rain /!93.243,31.746/!31
DMG/!Jamppi/!75.743,26.484/!m4a1/!rain /!93.209,31.780/!31
DMG/!suNny/!66.825,33.107/!ak47/!rain /!95.415,36.944/!33
DMG/!rain /!94.794,37.295/!hkp2000/!suNny/!66.621,36.025/!53
DMG/!broky /!75.588,55.833/!hkp2000/!sergej/!70.401,49.566/!16
DMG/!coldzera /!69.585,47.217/!hegrenade/!allu/!65.608,43.566/!2
DMG/!coldzera /!69.585,47.217/!hegrenade/!suNny/!66.226,41.925/!7
DMG/!coldzera /!69.585,48.142/!hkp2000/!sergej/!71.116,52.436/!16
DMG/!broky /!75.979,55.472/!hkp2000/!sergej/!71.020,52.366/!16
DMG/!coldzera /!69.585,48.482/!hkp2000/!sergej/!70.076,51.607/!68
KILL/!coldzera /!69.585,48.482/!usp_silencer HS/!sergej/!70.076,51.607
DMG/!broky /!75.796,56.026/!hkp2000/!Jamppi/!69.318,51.092/!65
DMG/!Jamppi/!69.380,51.031/!m4a1/!broky /!76.297,55.386/!40
DMG/!Jamppi/!69.377,51.035/!m4a1/!broky /!76.389,55.258/!24
DMG/!coldzera /!69.273,50.393/!hkp2000/!Jamppi/!69.365,51.055/!17
DMG/!coldzera /!69.313,50.303/!hkp2000/!Jamppi/!69.273,51.216/!17
DMG/!Jamppi/!69.273,51.385/!m4a1/!broky /!76.189,55.372/!32
KILL/!Jamppi/!69.273,51.516/!m4a1/!broky /!76.190,55.372
DMG/!Jamppi/!69.273,51.516/!m4a1/!broky /!76.190,55.372/!32
DMG/!Jamppi/!69.443,52.603/!m4a1/!coldzera /!69.315,51.594/!32
DMG/!Jamppi/!69.463,52.815/!m4a1/!coldzera /!69.311,51.600/!131
KILL/!Jamppi/!69.463,52.815/!m4a1 HS/!coldzera /!69.311,51.600
DMG/!Jamppi/!71.781,54.943/!glock/!Bymas/!77.250,39.185/!91
DMG/!Jamppi/!72.030,54.977/!glock/!Bymas/!77.212,39.163/!22
KILL/!Jamppi/!72.030,54.977/!glock/!Bymas/!77.212,39.163
DMG/!suNny/!70.454,37.950/!ak47/!rain /!67.708,41.670/!142
KILL/!suNny/!70.454,37.950/!ak47 HS/!rain /!67.708,41.670
DMG/!Jamppi/!77.880,43.043/!m4a1/!Bymas/!79.053,65.896/!21
DMG/!Jamppi/!77.818,43.216/!m4a1/!Bymas/!79.185,65.994/!86
KILL/!Jamppi/!77.818,43.216/!m4a1 HS/!Bymas/!79.185,65.994
DMG/!broky /!96.667,34.465/!awp/!suNny/!75.893,20.373/!136
KILL/!broky /!96.667,34.465/!awp/!suNny/!75.893,20.373
DMG/!NiKo /!71.118,21.856/!m4a1/!Aerial/!76.009,21.247/!22
DMG/!NiKo /!71.121,21.853/!m4a1/!Aerial/!75.866,21.293/!90
KILL/!NiKo /!71.121,21.853/!m4a1 HS/!Aerial/!75.866,21.293
DMG/!sergej/!70.836,45.021/!ak47/!coldzera /!69.037,52.593/!27
DMG/!sergej/!70.828,45.019/!ak47/!coldzera /!69.037,52.593/!27
DMG/!sergej/!70.837,45.020/!ak47/!coldzera /!69.037,52.593/!109
KILL/!sergej/!70.837,45.020/!ak47 HS/!coldzera /!69.037,52.593
DMG/!allu/!67.104,31.176/!ak47/!NiKo /!71.768,34.066/!34
DMG/!allu/!67.101,31.207/!ak47/!NiKo /!71.768,34.066/!27
DMG/!allu/!67.101,31.207/!ak47/!NiKo /!71.768,34.066/!34
DMG/!allu/!67.101,31.207/!ak47/!NiKo /!71.768,34.066/!141
KILL/!allu/!67.101,31.207/!ak47 HS/!NiKo /!71.768,34.066
DMG/!rain /!93.183,29.581/!m4a1/!sergej/!78.185,34.349/!88
DMG/!sergej/!78.202,34.394/!ak47/!rain /!93.188,29.598/!27
DMG/!rain /!93.234,29.744/!m4a1/!sergej/!78.144,34.224/!22
KILL/!rain /!93.234,29.744/!m4a1/!sergej/!78.144,34.224
DMG/!allu/!64.786,30.703/!ak47/!rain /!93.234,29.746/!26
DMG/!allu/!64.819,30.468/!ak47/!rain /!93.246,29.783/!32
DMG/!allu/!64.965,30.238/!ak47/!rain /!93.259,29.863/!32
KILL/!allu/!64.965,30.238/!ak47/!rain /!93.259,29.863
DMG/!unnamed/!NAN/!/!allu/!73.647,31.875/!8
DMG/!Jamppi/!89.061,56.688/!m4a1/!broky /!85.038,62.437/!129
KILL/!Jamppi/!89.061,56.688/!m4a1 HS/!broky /!85.038,62.437
DMG/!NiKo /!74.506,25.639/!deagle/!suNny/!61.031,29.749/!43
DMG/!suNny/!62.765,24.466/!ak47/!NiKo /!70.952,28.395/!64
DMG/!NiKo /!69.846,27.517/!deagle/!suNny/!65.312,24.894/!52
DMG/!NiKo /!70.064,27.232/!deagle/!suNny/!65.437,25.048/!52
KILL/!NiKo /!70.064,27.232/!deagle/!suNny/!65.437,25.048
DMG/!Jamppi/!61.900,24.582/!awp/!NiKo /!70.180,27.029/!114
KILL/!Jamppi/!61.900,24.582/!awp/!NiKo /!70.180,27.029
DMG/!allu/!79.619,32.395/!ak47/!rain /!81.531,36.143/!26
DMG/!allu/!79.630,32.373/!ak47/!rain /!81.495,36.164/!26
DMG/!allu/!79.641,32.368/!ak47/!rain /!81.469,36.186/!34
DMG/!allu/!79.661,32.357/!ak47/!rain /!81.435,36.192/!34
KILL/!allu/!79.661,32.357/!ak47/!rain /!81.435,36.192
DMG/!broky /!68.421,48.493/!p250/!sergej/!79.543,45.460/!26
DMG/!broky /!68.535,48.929/!p250/!sergej/!79.737,46.029/!21
DMG/!broky /!68.681,49.487/!p250/!sergej/!79.516,45.695/!85
KILL/!broky /!68.681,49.487/!p250 HS/!sergej/!79.516,45.695
DMG/!Aerial/!79.823,44.720/!ak47/!broky /!68.720,49.619/!35
DMG/!Aerial/!79.822,44.717/!ak47/!broky /!68.736,49.669/!26
DMG/!Aerial/!79.822,44.717/!ak47/!broky /!68.749,49.706/!35
DMG/!Aerial/!79.822,44.717/!ak47/!broky /!68.765,49.746/!43
KILL/!Aerial/!79.822,44.717/!ak47/!broky /!68.765,49.746
