faze-vs-ence-mirage.out
de_mirage
DMG/!broky /!21.700,78.027/!inferno/!NiKo /!27.796,72.104/!3
DMG/!broky /!21.621,77.861/!mac10/!Aerial/!13.282,73.247/!16
DMG/!Aerial/!13.287,73.240/!deagle/!broky /!21.583,77.758/!58
DMG/!broky /!21.435,77.146/!inferno/!NiKo /!28.116,71.345/!3
DMG/!suNny/!18.822,64.430/!famas/!NiKo /!30.103,67.939/!24
DMG/!NiKo /!30.103,67.939/!ak47/!suNny/!18.827,64.432/!140
KILL/!NiKo /!30.103,67.939/!ak47 HS/!suNny/!18.827,64.432
DMG/!broky /!21.232,80.284/!mac10/!Aerial/!14.059,72.764/!52
DMG/!broky /!21.268,80.249/!mac10/!Aerial/!14.059,72.764/!52
KILL/!broky /!21.268,80.249/!mac10 HS/!Aerial/!14.059,72.764
DMG/!sergej/!25.724,60.336/!deagle/!NiKo /!16.998,68.773/!2
DMG/!sergej/!25.965,60.594/!deagle/!NiKo /!17.106,69.020/!56
KILL/!sergej/!25.965,60.594/!deagle/!NiKo /!17.106,69.020
DMG/!allu/!47.167,70.513/!ssg08/!broky /!20.359,71.979/!70
KILL/!allu/!47.167,70.513/!ssg08/!broky /!20.359,71.979
DMG/!broky /!71.454,62.131/!ssg08/!suNny/!40.421,51.787/!12
DMG/!allu/!54.397,21.387/!ssg08/!rain /!47.347,60.890/!68
KILL/!rain /!47.226,60.871/!ak47 HS/!allu/!54.548,21.413
DMG/!rain /!47.226,60.871/!ak47/!allu/!54.548,21.413/!102
KILL/!coldzera /!69.897,24.213/!deagle HS/!sergej/!65.338,20.300
DMG/!coldzera /!69.897,24.213/!deagle/!sergej/!65.338,20.300/!207
DMG/!broky /!54.688,74.914/!ssg08/!Aerial/!40.134,79.750/!290
KILL/!broky /!54.688,74.914/!ssg08 HS/!Aerial/!40.134,79.750
DMG/!suNny/!57.805,76.692/!famas/!Bymas/!52.329,73.990/!116
KILL/!suNny/!57.805,76.692/!famas HS/!Bymas/!52.329,73.990
DMG/!unnamed/!NAN/!/!coldzera /!25.887,30.765/!7
DMG/!unnamed/!NAN/!/!rain /!82.566,38.268/!7
DMG/!unnamed/!NAN/!/!broky /!23.105,32.176/!7
DMG/!allu/!39.239,47.907/!hegrenade/!rain /!69.396,60.760/!31
DMG/!Aerial/!54.591,55.683/!ump45/!rain /!70.906,57.363/!14
DMG/!Aerial/!54.606,55.543/!ump45/!rain /!70.908,57.350/!56
KILL/!Aerial/!54.606,55.543/!ump45 HS/!rain /!70.908,57.350
DMG/!Aerial/!55.152,53.692/!ump45/!NiKo /!71.047,58.868/!17
DMG/!Aerial/!55.151,53.710/!ump45/!NiKo /!71.047,58.868/!17
DMG/!Aerial/!55.166,53.663/!ump45/!NiKo /!71.047,58.869/!13
DMG/!Aerial/!55.190,53.589/!ump45/!NiKo /!71.043,58.881/!55
KILL/!Aerial/!55.190,53.589/!ump45 HS/!NiKo /!71.043,58.881
DMG/!Jamppi/!45.941,72.675/!m4a1/!coldzera /!47.885,60.374/!23
DMG/!Jamppi/!45.732,72.634/!m4a1/!coldzera /!47.680,60.374/!22
DMG/!Jamppi/!45.703,72.628/!m4a1/!coldzera /!47.704,60.377/!22
DMG/!Jamppi/!45.716,72.630/!m4a1/!coldzera /!47.771,60.386/!22
DMG/!coldzera /!47.874,60.404/!ak47/!Jamppi/!45.765,72.637/!33
DMG/!Jamppi/!45.800,72.643/!m4a1/!coldzera /!47.899,60.408/!22
KILL/!Jamppi/!45.800,72.643/!m4a1/!coldzera /!47.899,60.408
DMG/!Jamppi/!46.637,72.707/!m4a1/!broky /!48.360,59.921/!88
DMG/!broky /!48.328,59.916/!ak47/!Jamppi/!46.608,72.692/!27
DMG/!broky /!48.311,59.913/!ak47/!Jamppi/!46.559,72.684/!27
DMG/!broky /!48.284,59.910/!ak47/!Jamppi/!46.528,72.680/!27
KILL/!broky /!48.284,59.910/!ak47/!Jamppi/!46.528,72.680
DMG/!allu/!44.733,72.690/!famas/!Bymas/!47.914,63.495/!20
DMG/!allu/!44.728,72.677/!famas/!Bymas/!47.909,63.483/!20
DMG/!allu/!44.708,72.669/!famas/!Bymas/!47.908,63.465/!20
DMG/!allu/!44.680,72.659/!famas/!Bymas/!47.915,63.442/!20
DMG/!Bymas/!47.902,63.430/!ak47/!allu/!44.649,72.648/!34
DMG/!allu/!44.644,72.646/!famas/!Bymas/!47.898,63.428/!20
KILL/!allu/!44.644,72.646/!famas/!Bymas/!47.898,63.428
DMG/!broky /!47.062,64.444/!ak47/!allu/!44.398,72.551/!16
DMG/!broky /!47.123,64.463/!ak47/!allu/!44.324,72.522/!34
DMG/!broky /!47.146,64.470/!ak47/!allu/!44.377,72.545/!11
DMG/!allu/!44.409,72.558/!famas/!broky /!47.160,64.475/!1
DMG/!broky /!47.212,64.524/!ak47/!allu/!44.383,72.548/!34
KILL/!broky /!47.212,64.524/!ak47/!allu/!44.383,72.548
DMG/!suNny/!53.511,22.167/!m4a1/!broky /!47.405,64.812/!25
KILL/!suNny/!53.511,22.167/!m4a1/!broky /!47.405,64.812
DMG/!suNny/!52.625,51.515/!hegrenade/!broky /!70.521,65.513/!6
DMG/!suNny/!52.625,51.515/!hegrenade/!rain /!70.391,64.289/!2
DMG/!suNny/!52.625,51.515/!hegrenade/!NiKo /!69.518,75.716/!3
DMG/!sergej/!63.716,27.177/!hegrenade/!coldzera /!71.511,20.800/!1
