./demos/movistar-riders-vs-gamerlegion-overpass.out
KILL/!MRS - mopoz/!17.579,32.180/!knife_m9_bayonet/!GL ` kingmezii/!18.349,32.390
DMG/!GL ` eraa/!19.406,31.954/!knife/!MRS - lowel/!18.652,32.759/!55
KILL/!GL ` eraa/!19.406,31.954/!knife_widowmaker/!MRS - lowel/!18.652,32.759
DMG/!MRS - EasTor/!14.395,32.098/!knife/!GL ` hampus/!13.528,31.537/!33
DMG/!GL ` hampus/!13.537,31.542/!knife/!MRS - EasTor/!14.332,32.061/!33
DMG/!GL ` RuStY^_^/!18.404,31.521/!knife/!MRS - mopoz/!18.115,32.157/!55
DMG/!MRS - mopoz/!18.198,32.149/!knife/!GL ` RuStY^_^/!18.177,31.456/!55
DMG/!MRS - EasTor/!13.878,32.458/!knife/!GL ` hampus/!13.556,31.492/!21
DMG/!GL ` hampus/!13.547,31.501/!knife/!MRS - EasTor/!13.853,32.448/!21
KILL/!MRS - EasTor/!13.062,32.407/!knife_widowmaker/!GL ` hampus/!12.935,31.727
DMG/!MRS - EasTor/!13.062,32.407/!knife/!GL ` hampus/!12.935,31.727/!55
KILL/!GL ` eraa/!16.565,33.840/!knife_widowmaker/!MRS - mopoz/!15.353,34.004
DMG/!GL ` eraa/!16.565,33.840/!knife/!MRS - mopoz/!15.353,34.004/!55
DMG/!MRS - EasTor/!10.431,33.516/!knife/!GL ` eraa/!10.535,32.884/!55
DMG/!GL ` eraa/!10.487,32.894/!knife/!MRS - EasTor/!10.265,33.540/!55
KILL/!GL ` eraa/!10.487,32.894/!knife_widowmaker/!MRS - EasTor/!10.265,33.540
DMG/!GL ` RuStY^_^/!11.038,33.735/!knife/!GL ` eraa/!10.248,33.424/!22
DMG/!GL ` RuStY^_^/!8.132,36.606/!knife/!GL ` eraa/!7.070,36.827/!61
KILL/!GL ` RuStY^_^/!8.132,36.606/!knife_stiletto/!GL ` eraa/!7.070,36.827
DMG/!MRS - ALEXXXXX/!48.019,69.200/!glock/!GL ` kingmezii/!24.245,80.066/!77
DMG/!GL ` eraa/!45.146,58.602/!usp_silencer/!MRS - EasTor/!28.033,73.472/!112
KILL/!GL ` eraa/!45.146,58.602/!usp_silencer HS/!MRS - EasTor/!28.033,73.472
DMG/!GL ` RuStY^_^/!28.339,77.692/!usp_silencer/!MRS - mopoz/!37.500,65.546/!15
DMG/!GL ` RuStY^_^/!28.098,77.513/!usp_silencer/!MRS - mopoz/!37.440,65.621/!18
DMG/!GL ` RuStY^_^/!28.444,77.789/!usp_silencer/!MRS - mopoz/!36.500,64.981/!120
KILL/!GL ` RuStY^_^/!28.444,77.789/!usp_silencer HS/!MRS - mopoz/!36.500,64.981
DMG/!GL ` eraa/!44.175,57.657/!usp_silencer/!MRS - lowel/!46.968,67.306/!127
KILL/!GL ` eraa/!44.175,57.657/!usp_silencer HS/!MRS - lowel/!46.968,67.306
DMG/!MRS - steel/!51.176,65.750/!glock/!GL ` Gux/!40.810,63.383/!24
DMG/!GL ` eraa/!45.671,65.610/!usp_silencer/!MRS - steel/!51.176,65.749/!132
KILL/!GL ` eraa/!45.671,65.610/!usp_silencer HS/!MRS - steel/!51.176,65.749
DMG/!MRS - ALEXXXXX/!35.688,64.377/!glock/!GL ` kingmezii/!34.933,70.898/!15
KILL/!MRS - ALEXXXXX/!35.791,64.415/!glock/!GL ` kingmezii/!35.204,70.982
DMG/!MRS - ALEXXXXX/!35.791,64.415/!glock/!GL ` kingmezii/!35.204,70.982/!12
KILL/!GL ` RuStY^_^/!37.204,76.184/!usp_silencer HS/!MRS - ALEXXXXX/!35.919,64.435
DMG/!GL ` RuStY^_^/!37.204,76.184/!usp_silencer/!MRS - ALEXXXXX/!35.919,64.435/!125
DMG/!GL ` RuStY^_^/!40.462,71.975/!m4a1_silencer/!MRS - lowel/!44.500,57.645/!22
DMG/!GL ` RuStY^_^/!40.462,71.975/!m4a1_silencer/!MRS - lowel/!44.584,57.724/!28
DMG/!MRS - mopoz/!52.908,60.073/!tec9/!GL ` Gux/!51.714,63.784/!109
